,MFI,artist,album,song,original_path,original_file,16k_path,16k_file,sample_full
5406,mujer,Katy Perry,I Kissed A Girl [16Bit-44.1kHz],01. I Kissed A Girl,/audio/mujer/Katy Perry/I Kissed A Girl [16Bit-44.1kHz],/audio/mujer/Katy Perry/I Kissed A Girl [16Bit-44.1kHz]/01. I Kissed A Girl.flac,..\data\masterDS,..\data\masterDS\01. I Kissed A Girl0.flac,full
5425,mujer,Katy Perry,Never Really Over (R3HAB Remix) [16Bit-44.1kHz],01. Never Really Over,/audio/mujer/Katy Perry/Never Really Over (R3HAB Remix) [16Bit-44.1kHz],/audio/mujer/Katy Perry/Never Really Over (R3HAB Remix) [16Bit-44.1kHz]/01. Never Really Over.flac,..\data\masterDS,..\data\masterDS\01. Never Really Over0.flac,full
5444,mujer,Katy Perry,Never Really Over (Syn Cole Remix) [16Bit-44.1kHz],01. Never Really Over,/audio/mujer/Katy Perry/Never Really Over (Syn Cole Remix) [16Bit-44.1kHz],/audio/mujer/Katy Perry/Never Really Over (Syn Cole Remix) [16Bit-44.1kHz]/01. Never Really Over.flac,..\data\masterDS,..\data\masterDS\01. Never Really Over0.flac,full
5463,mujer,Katy Perry,Never Really Over (Wow & Flutter Remix) [16Bit-44.1kHz],01. Never Really Over,/audio/mujer/Katy Perry/Never Really Over (Wow & Flutter Remix) [16Bit-44.1kHz],/audio/mujer/Katy Perry/Never Really Over (Wow & Flutter Remix) [16Bit-44.1kHz]/01. Never Really Over.flac,..\data\masterDS,..\data\masterDS\01. Never Really Over0.flac,full
5501,mujer,Katy Perry,Never Really Over [24Bit-44.1kHz],01. Never Really Over,/audio/mujer/Katy Perry/Never Really Over [24Bit-44.1kHz],/audio/mujer/Katy Perry/Never Really Over [24Bit-44.1kHz]/01. Never Really Over.flac,..\data\masterDS,..\data\masterDS\01. Never Really Over0.flac,full
5524,mujer,Katy Perry,Never Worn White [24Bit-44.1kHz],01. Never Worn White,/audio/mujer/Katy Perry/Never Worn White [24Bit-44.1kHz],/audio/mujer/Katy Perry/Never Worn White [24Bit-44.1kHz]/01. Never Worn White.flac,..\data\masterDS,..\data\masterDS\01. Never Worn White0.flac,full
5547,mujer,Katy Perry,One Of The Boys [16Bit-44.1kHz],01. One Of The Boys,/audio/mujer/Katy Perry/One Of The Boys [16Bit-44.1kHz],/audio/mujer/Katy Perry/One Of The Boys [16Bit-44.1kHz]/01. One Of The Boys.flac,..\data\masterDS,..\data\masterDS\01. One Of The Boys0.flac,full
5572,mujer,Katy Perry,One Of The Boys [16Bit-44.1kHz],02. I Kissed A Girl,/audio/mujer/Katy Perry/One Of The Boys [16Bit-44.1kHz],/audio/mujer/Katy Perry/One Of The Boys [16Bit-44.1kHz]/02. I Kissed A Girl.flac,..\data\masterDS,..\data\masterDS\02. I Kissed A Girl0.flac,full
5590,mujer,Katy Perry,One Of The Boys [16Bit-44.1kHz],03. Waking Up In Vegas,/audio/mujer/Katy Perry/One Of The Boys [16Bit-44.1kHz],/audio/mujer/Katy Perry/One Of The Boys [16Bit-44.1kHz]/03. Waking Up In Vegas.flac,..\data\masterDS,..\data\masterDS\03. Waking Up In Vegas0.flac,full
5610,mujer,Katy Perry,One Of The Boys [16Bit-44.1kHz],04. Thinking Of You,/audio/mujer/Katy Perry/One Of The Boys [16Bit-44.1kHz],/audio/mujer/Katy Perry/One Of The Boys [16Bit-44.1kHz]/04. Thinking Of You.flac,..\data\masterDS,..\data\masterDS\04. Thinking Of You0.flac,full
5635,mujer,Katy Perry,One Of The Boys [16Bit-44.1kHz],05. Mannequin,/audio/mujer/Katy Perry/One Of The Boys [16Bit-44.1kHz],/audio/mujer/Katy Perry/One Of The Boys [16Bit-44.1kHz]/05. Mannequin.flac,..\data\masterDS,..\data\masterDS\05. Mannequin0.flac,full
5655,mujer,Katy Perry,One Of The Boys [16Bit-44.1kHz],06. Ur So Gay,/audio/mujer/Katy Perry/One Of The Boys [16Bit-44.1kHz],/audio/mujer/Katy Perry/One Of The Boys [16Bit-44.1kHz]/06. Ur So Gay.flac,..\data\masterDS,..\data\masterDS\06. Ur So Gay0.flac,full
5677,mujer,Katy Perry,One Of The Boys [16Bit-44.1kHz],07. Hot N Cold,/audio/mujer/Katy Perry/One Of The Boys [16Bit-44.1kHz],/audio/mujer/Katy Perry/One Of The Boys [16Bit-44.1kHz]/07. Hot N Cold.flac,..\data\masterDS,..\data\masterDS\07. Hot N Cold0.flac,full
5700,mujer,Katy Perry,One Of The Boys [16Bit-44.1kHz],08. If You Can Afford Me,/audio/mujer/Katy Perry/One Of The Boys [16Bit-44.1kHz],/audio/mujer/Katy Perry/One Of The Boys [16Bit-44.1kHz]/08. If You Can Afford Me.flac,..\data\masterDS,..\data\masterDS\08. If You Can Afford Me0.flac,full
5720,mujer,Katy Perry,One Of The Boys [16Bit-44.1kHz],09. Lost,/audio/mujer/Katy Perry/One Of The Boys [16Bit-44.1kHz],/audio/mujer/Katy Perry/One Of The Boys [16Bit-44.1kHz]/09. Lost.flac,..\data\masterDS,..\data\masterDS\09. Lost0.flac,full
5746,mujer,Katy Perry,One Of The Boys [16Bit-44.1kHz],10. Self Inflicted,/audio/mujer/Katy Perry/One Of The Boys [16Bit-44.1kHz],/audio/mujer/Katy Perry/One Of The Boys [16Bit-44.1kHz]/10. Self Inflicted.flac,..\data\masterDS,..\data\masterDS\10. Self Inflicted0.flac,full
5767,mujer,Katy Perry,One Of The Boys [16Bit-44.1kHz],11. I'm Still Breathing,/audio/mujer/Katy Perry/One Of The Boys [16Bit-44.1kHz],/audio/mujer/Katy Perry/One Of The Boys [16Bit-44.1kHz]/11. I'm Still Breathing.flac,..\data\masterDS,..\data\masterDS\11. I'm Still Breathing0.flac,full
5790,mujer,Katy Perry,One Of The Boys [16Bit-44.1kHz],12. Fingerprints,/audio/mujer/Katy Perry/One Of The Boys [16Bit-44.1kHz],/audio/mujer/Katy Perry/One Of The Boys [16Bit-44.1kHz]/12. Fingerprints.flac,..\data\masterDS,..\data\masterDS\12. Fingerprints0.flac,full
5813,mujer,Katy Perry,Part Of Me (Jaques Lu Cont's Thin White Duke Mix) [16Bit-44.1kHz],01. Part Of Me,/audio/mujer/Katy Perry/Part Of Me (Jaques Lu Cont's Thin White Duke Mix) [16Bit-44.1kHz],/audio/mujer/Katy Perry/Part Of Me (Jaques Lu Cont's Thin White Duke Mix) [16Bit-44.1kHz]/01. Part Of Me.flac,..\data\masterDS,..\data\masterDS\01. Part Of Me0.flac,full
5850,mujer,Katy Perry,Part Of Me (Remix EP) [16Bit-44.1kHz],01. Part Of Me,/audio/mujer/Katy Perry/Part Of Me (Remix EP) [16Bit-44.1kHz],/audio/mujer/Katy Perry/Part Of Me (Remix EP) [16Bit-44.1kHz]/01. Part Of Me.flac,..\data\masterDS,..\data\masterDS\01. Part Of Me0.flac,full
5872,mujer,Katy Perry,Part Of Me (Remix EP) [16Bit-44.1kHz],02. Part Of Me,/audio/mujer/Katy Perry/Part Of Me (Remix EP) [16Bit-44.1kHz],/audio/mujer/Katy Perry/Part Of Me (Remix EP) [16Bit-44.1kHz]/02. Part Of Me.flac,..\data\masterDS,..\data\masterDS\02. Part Of Me0.flac,full
5909,mujer,Katy Perry,Part Of Me (Remix EP) [16Bit-44.1kHz],03. Part Of Me,/audio/mujer/Katy Perry/Part Of Me (Remix EP) [16Bit-44.1kHz],/audio/mujer/Katy Perry/Part Of Me (Remix EP) [16Bit-44.1kHz]/03. Part Of Me.flac,..\data\masterDS,..\data\masterDS\03. Part Of Me0.flac,full
5932,mujer,Katy Perry,Part Of Me (Remix EP) [16Bit-44.1kHz],04. Part Of Me,/audio/mujer/Katy Perry/Part Of Me (Remix EP) [16Bit-44.1kHz],/audio/mujer/Katy Perry/Part Of Me (Remix EP) [16Bit-44.1kHz]/04. Part Of Me.flac,..\data\masterDS,..\data\masterDS\04. Part Of Me0.flac,full
5954,mujer,Katy Perry,PRISM (Deluxe) [24Bit-44.1kHz],01. Roar,/audio/mujer/Katy Perry/PRISM (Deluxe) [24Bit-44.1kHz],/audio/mujer/Katy Perry/PRISM (Deluxe) [24Bit-44.1kHz]/01. Roar.flac,..\data\masterDS,..\data\masterDS\01. Roar0.flac,full
5977,mujer,Katy Perry,PRISM (Deluxe) [24Bit-44.1kHz],02. Legendary Lovers,/audio/mujer/Katy Perry/PRISM (Deluxe) [24Bit-44.1kHz],/audio/mujer/Katy Perry/PRISM (Deluxe) [24Bit-44.1kHz]/02. Legendary Lovers.flac,..\data\masterDS,..\data\masterDS\02. Legendary Lovers0.flac,full
6000,mujer,Katy Perry,PRISM (Deluxe) [24Bit-44.1kHz],03. Birthday,/audio/mujer/Katy Perry/PRISM (Deluxe) [24Bit-44.1kHz],/audio/mujer/Katy Perry/PRISM (Deluxe) [24Bit-44.1kHz]/03. Birthday.flac,..\data\masterDS,..\data\masterDS\03. Birthday0.flac,full
6022,mujer,Katy Perry,PRISM (Deluxe) [24Bit-44.1kHz],04. Walking On Air,/audio/mujer/Katy Perry/PRISM (Deluxe) [24Bit-44.1kHz],/audio/mujer/Katy Perry/PRISM (Deluxe) [24Bit-44.1kHz]/04. Walking On Air.flac,..\data\masterDS,..\data\masterDS\04. Walking On Air0.flac,full
6045,mujer,Katy Perry,PRISM (Deluxe) [24Bit-44.1kHz],05. Unconditionally,/audio/mujer/Katy Perry/PRISM (Deluxe) [24Bit-44.1kHz],/audio/mujer/Katy Perry/PRISM (Deluxe) [24Bit-44.1kHz]/05. Unconditionally.flac,..\data\masterDS,..\data\masterDS\05. Unconditionally0.flac,full
6068,mujer,Katy Perry,PRISM (Deluxe) [24Bit-44.1kHz],06. Dark Horse,/audio/mujer/Katy Perry/PRISM (Deluxe) [24Bit-44.1kHz],/audio/mujer/Katy Perry/PRISM (Deluxe) [24Bit-44.1kHz]/06. Dark Horse.flac,..\data\masterDS,..\data\masterDS\06. Dark Horse0.flac,full
6090,mujer,Katy Perry,PRISM (Deluxe) [24Bit-44.1kHz],07. This Is How We Do,/audio/mujer/Katy Perry/PRISM (Deluxe) [24Bit-44.1kHz],/audio/mujer/Katy Perry/PRISM (Deluxe) [24Bit-44.1kHz]/07. This Is How We Do.flac,..\data\masterDS,..\data\masterDS\07. This Is How We Do0.flac,full
6111,mujer,Katy Perry,PRISM (Deluxe) [24Bit-44.1kHz],08. International Smile,/audio/mujer/Katy Perry/PRISM (Deluxe) [24Bit-44.1kHz],/audio/mujer/Katy Perry/PRISM (Deluxe) [24Bit-44.1kHz]/08. International Smile.flac,..\data\masterDS,..\data\masterDS\08. International Smile0.flac,full
6134,mujer,Katy Perry,PRISM (Deluxe) [24Bit-44.1kHz],09. Ghost,/audio/mujer/Katy Perry/PRISM (Deluxe) [24Bit-44.1kHz],/audio/mujer/Katy Perry/PRISM (Deluxe) [24Bit-44.1kHz]/09. Ghost.flac,..\data\masterDS,..\data\masterDS\09. Ghost0.flac,full
6155,mujer,Katy Perry,PRISM (Deluxe) [24Bit-44.1kHz],10. Love Me,/audio/mujer/Katy Perry/PRISM (Deluxe) [24Bit-44.1kHz],/audio/mujer/Katy Perry/PRISM (Deluxe) [24Bit-44.1kHz]/10. Love Me.flac,..\data\masterDS,..\data\masterDS\10. Love Me0.flac,full
6179,mujer,Katy Perry,PRISM (Deluxe) [24Bit-44.1kHz],11. This Moment,/audio/mujer/Katy Perry/PRISM (Deluxe) [24Bit-44.1kHz],/audio/mujer/Katy Perry/PRISM (Deluxe) [24Bit-44.1kHz]/11. This Moment.flac,..\data\masterDS,..\data\masterDS\11. This Moment0.flac,full
6202,mujer,Katy Perry,PRISM (Deluxe) [24Bit-44.1kHz],12. Double Rainbow,/audio/mujer/Katy Perry/PRISM (Deluxe) [24Bit-44.1kHz],/audio/mujer/Katy Perry/PRISM (Deluxe) [24Bit-44.1kHz]/12. Double Rainbow.flac,..\data\masterDS,..\data\masterDS\12. Double Rainbow0.flac,full
6226,mujer,Katy Perry,PRISM (Deluxe) [24Bit-44.1kHz],13. By The Grace Of God,/audio/mujer/Katy Perry/PRISM (Deluxe) [24Bit-44.1kHz],/audio/mujer/Katy Perry/PRISM (Deluxe) [24Bit-44.1kHz]/13. By The Grace Of God.flac,..\data\masterDS,..\data\masterDS\13. By The Grace Of God0.flac,full
6253,mujer,Katy Perry,PRISM (Deluxe) [24Bit-44.1kHz],14. Spiritual,/audio/mujer/Katy Perry/PRISM (Deluxe) [24Bit-44.1kHz],/audio/mujer/Katy Perry/PRISM (Deluxe) [24Bit-44.1kHz]/14. Spiritual.flac,..\data\masterDS,..\data\masterDS\14. Spiritual0.flac,full
6281,mujer,Katy Perry,PRISM (Deluxe) [24Bit-44.1kHz],15. It Takes Two,/audio/mujer/Katy Perry/PRISM (Deluxe) [24Bit-44.1kHz],/audio/mujer/Katy Perry/PRISM (Deluxe) [24Bit-44.1kHz]/15. It Takes Two.flac,..\data\masterDS,..\data\masterDS\15. It Takes Two0.flac,full
6305,mujer,Katy Perry,PRISM (Deluxe) [24Bit-44.1kHz],16. Choose Your Battles,/audio/mujer/Katy Perry/PRISM (Deluxe) [24Bit-44.1kHz],/audio/mujer/Katy Perry/PRISM (Deluxe) [24Bit-44.1kHz]/16. Choose Your Battles.flac,..\data\masterDS,..\data\masterDS\16. Choose Your Battles0.flac,full
6332,mujer,Katy Perry,PRISM [16Bit-44.1kHz],01. Roar,/audio/mujer/Katy Perry/PRISM [16Bit-44.1kHz],/audio/mujer/Katy Perry/PRISM [16Bit-44.1kHz]/01. Roar.flac,..\data\masterDS,..\data\masterDS\01. Roar0.flac,full
6355,mujer,Katy Perry,PRISM [16Bit-44.1kHz],02. Legendary Lovers,/audio/mujer/Katy Perry/PRISM [16Bit-44.1kHz],/audio/mujer/Katy Perry/PRISM [16Bit-44.1kHz]/02. Legendary Lovers.flac,..\data\masterDS,..\data\masterDS\02. Legendary Lovers0.flac,full
6378,mujer,Katy Perry,PRISM [16Bit-44.1kHz],03. Birthday,/audio/mujer/Katy Perry/PRISM [16Bit-44.1kHz],/audio/mujer/Katy Perry/PRISM [16Bit-44.1kHz]/03. Birthday.flac,..\data\masterDS,..\data\masterDS\03. Birthday0.flac,full
6400,mujer,Katy Perry,PRISM [16Bit-44.1kHz],04. Walking On Air,/audio/mujer/Katy Perry/PRISM [16Bit-44.1kHz],/audio/mujer/Katy Perry/PRISM [16Bit-44.1kHz]/04. Walking On Air.flac,..\data\masterDS,..\data\masterDS\04. Walking On Air0.flac,full
6423,mujer,Katy Perry,PRISM [16Bit-44.1kHz],05. Unconditionally,/audio/mujer/Katy Perry/PRISM [16Bit-44.1kHz],/audio/mujer/Katy Perry/PRISM [16Bit-44.1kHz]/05. Unconditionally.flac,..\data\masterDS,..\data\masterDS\05. Unconditionally0.flac,full
6446,mujer,Katy Perry,PRISM [16Bit-44.1kHz],06. Dark Horse,/audio/mujer/Katy Perry/PRISM [16Bit-44.1kHz],/audio/mujer/Katy Perry/PRISM [16Bit-44.1kHz]/06. Dark Horse.flac,..\data\masterDS,..\data\masterDS\06. Dark Horse0.flac,full
6468,mujer,Katy Perry,PRISM [16Bit-44.1kHz],07. This Is How We Do,/audio/mujer/Katy Perry/PRISM [16Bit-44.1kHz],/audio/mujer/Katy Perry/PRISM [16Bit-44.1kHz]/07. This Is How We Do.flac,..\data\masterDS,..\data\masterDS\07. This Is How We Do0.flac,full
6489,mujer,Katy Perry,PRISM [16Bit-44.1kHz],08. International Smile,/audio/mujer/Katy Perry/PRISM [16Bit-44.1kHz],/audio/mujer/Katy Perry/PRISM [16Bit-44.1kHz]/08. International Smile.flac,..\data\masterDS,..\data\masterDS\08. International Smile0.flac,full
6512,mujer,Katy Perry,PRISM [16Bit-44.1kHz],09. Ghost,/audio/mujer/Katy Perry/PRISM [16Bit-44.1kHz],/audio/mujer/Katy Perry/PRISM [16Bit-44.1kHz]/09. Ghost.flac,..\data\masterDS,..\data\masterDS\09. Ghost0.flac,full
6533,mujer,Katy Perry,PRISM [16Bit-44.1kHz],10. Love Me,/audio/mujer/Katy Perry/PRISM [16Bit-44.1kHz],/audio/mujer/Katy Perry/PRISM [16Bit-44.1kHz]/10. Love Me.flac,..\data\masterDS,..\data\masterDS\10. Love Me0.flac,full
6557,mujer,Katy Perry,PRISM [16Bit-44.1kHz],11. This Moment,/audio/mujer/Katy Perry/PRISM [16Bit-44.1kHz],/audio/mujer/Katy Perry/PRISM [16Bit-44.1kHz]/11. This Moment.flac,..\data\masterDS,..\data\masterDS\11. This Moment0.flac,full
6580,mujer,Katy Perry,PRISM [16Bit-44.1kHz],12. Double Rainbow,/audio/mujer/Katy Perry/PRISM [16Bit-44.1kHz],/audio/mujer/Katy Perry/PRISM [16Bit-44.1kHz]/12. Double Rainbow.flac,..\data\masterDS,..\data\masterDS\12. Double Rainbow0.flac,full
6604,mujer,Katy Perry,PRISM [16Bit-44.1kHz],13. By The Grace Of God,/audio/mujer/Katy Perry/PRISM [16Bit-44.1kHz],/audio/mujer/Katy Perry/PRISM [16Bit-44.1kHz]/13. By The Grace Of God.flac,..\data\masterDS,..\data\masterDS\13. By The Grace Of God0.flac,full
6631,mujer,Katy Perry,Resilient (Tiësto Remix) [24Bit-44.1kHz],01. Resilient,/audio/mujer/Katy Perry/Resilient (Tiësto Remix) [24Bit-44.1kHz],/audio/mujer/Katy Perry/Resilient (Tiësto Remix) [24Bit-44.1kHz]/01. Resilient.flac,..\data\masterDS,..\data\masterDS\01. Resilient0.flac,full
6651,mujer,Katy Perry,Rise Remixes [16Bit-44.1kHz],01. Rise,/audio/mujer/Katy Perry/Rise Remixes [16Bit-44.1kHz],/audio/mujer/Katy Perry/Rise Remixes [16Bit-44.1kHz]/01. Rise.flac,..\data\masterDS,..\data\masterDS\01. Rise0.flac,full
6673,mujer,Katy Perry,Rise Remixes [16Bit-44.1kHz],02. Rise,/audio/mujer/Katy Perry/Rise Remixes [16Bit-44.1kHz],/audio/mujer/Katy Perry/Rise Remixes [16Bit-44.1kHz]/02. Rise.flac,..\data\masterDS,..\data\masterDS\02. Rise0.flac,full
6698,mujer,Katy Perry,Rise Remixes [16Bit-44.1kHz],03. Rise,/audio/mujer/Katy Perry/Rise Remixes [16Bit-44.1kHz],/audio/mujer/Katy Perry/Rise Remixes [16Bit-44.1kHz]/03. Rise.flac,..\data\masterDS,..\data\masterDS\03. Rise0.flac,full
6718,mujer,Katy Perry,Rise [16Bit-44.1kHz],01. Rise,/audio/mujer/Katy Perry/Rise [16Bit-44.1kHz],/audio/mujer/Katy Perry/Rise [16Bit-44.1kHz]/01. Rise.flac,..\data\masterDS,..\data\masterDS\01. Rise0.flac,full
6739,mujer,Katy Perry,Roar [16Bit-44.1kHz],01. Roar,/audio/mujer/Katy Perry/Roar [16Bit-44.1kHz],/audio/mujer/Katy Perry/Roar [16Bit-44.1kHz]/01. Roar.flac,..\data\masterDS,..\data\masterDS\01. Roar0.flac,full
6762,mujer,Katy Perry,Scorpio SZN [16Bit-44.1kHz],01. Cry About It Later,/audio/mujer/Katy Perry/Scorpio SZN [16Bit-44.1kHz],/audio/mujer/Katy Perry/Scorpio SZN [16Bit-44.1kHz]/01. Cry About It Later.flac,..\data\masterDS,..\data\masterDS\01. Cry About It Later0.flac,full
6781,mujer,Katy Perry,Scorpio SZN [16Bit-44.1kHz],02. E.T,/audio/mujer/Katy Perry/Scorpio SZN [16Bit-44.1kHz],/audio/mujer/Katy Perry/Scorpio SZN [16Bit-44.1kHz]/02. E.T.flac,..\data\masterDS,..\data\masterDS\02. E.T0.flac,full
6805,mujer,Katy Perry,Scorpio SZN [16Bit-44.1kHz],03. Dark Horse,/audio/mujer/Katy Perry/Scorpio SZN [16Bit-44.1kHz],/audio/mujer/Katy Perry/Scorpio SZN [16Bit-44.1kHz]/03. Dark Horse.flac,..\data\masterDS,..\data\masterDS\03. Dark Horse0.flac,full
6827,mujer,Katy Perry,Scorpio SZN [16Bit-44.1kHz],04. Ghost,/audio/mujer/Katy Perry/Scorpio SZN [16Bit-44.1kHz],/audio/mujer/Katy Perry/Scorpio SZN [16Bit-44.1kHz]/04. Ghost.flac,..\data\masterDS,..\data\masterDS\04. Ghost0.flac,full
6848,mujer,Katy Perry,Scorpio SZN [16Bit-44.1kHz],05. Spiritual,/audio/mujer/Katy Perry/Scorpio SZN [16Bit-44.1kHz],/audio/mujer/Katy Perry/Scorpio SZN [16Bit-44.1kHz]/05. Spiritual.flac,..\data\masterDS,..\data\masterDS\05. Spiritual0.flac,full
6876,mujer,Katy Perry,Scorpio SZN [16Bit-44.1kHz],06. Dance With The Devil,/audio/mujer/Katy Perry/Scorpio SZN [16Bit-44.1kHz],/audio/mujer/Katy Perry/Scorpio SZN [16Bit-44.1kHz]/06. Dance With The Devil.flac,..\data\masterDS,..\data\masterDS\06. Dance With The Devil0.flac,full
6899,mujer,Katy Perry,Small Talk (Lost Kings Remix) [16Bit-44.1kHz],01. Small Talk,/audio/mujer/Katy Perry/Small Talk (Lost Kings Remix) [16Bit-44.1kHz],/audio/mujer/Katy Perry/Small Talk (Lost Kings Remix) [16Bit-44.1kHz]/01. Small Talk.flac,..\data\masterDS,..\data\masterDS\01. Small Talk0.flac,full
6917,mujer,Katy Perry,Small Talk (Sofi Tukker Remix) [16Bit-44.1kHz],01. Small Talk,/audio/mujer/Katy Perry/Small Talk (Sofi Tukker Remix) [16Bit-44.1kHz],/audio/mujer/Katy Perry/Small Talk (Sofi Tukker Remix) [16Bit-44.1kHz]/01. Small Talk.flac,..\data\masterDS,..\data\masterDS\01. Small Talk0.flac,full
6937,mujer,Katy Perry,Small Talk (White Panda Remix) [16Bit-44.1kHz],01. Small Talk,/audio/mujer/Katy Perry/Small Talk (White Panda Remix) [16Bit-44.1kHz],/audio/mujer/Katy Perry/Small Talk (White Panda Remix) [16Bit-44.1kHz]/01. Small Talk.flac,..\data\masterDS,..\data\masterDS\01. Small Talk0.flac,full
6957,mujer,Katy Perry,Small Talk [24Bit-44.1kHz],01. Small Talk,/audio/mujer/Katy Perry/Small Talk [24Bit-44.1kHz],/audio/mujer/Katy Perry/Small Talk [24Bit-44.1kHz]/01. Small Talk.flac,..\data\masterDS,..\data\masterDS\01. Small Talk0.flac,full
6974,mujer,Katy Perry,Smile (Explicit) [24Bit-44.1kHz],01. Never Really Over,/audio/mujer/Katy Perry/Smile (Explicit) [24Bit-44.1kHz],/audio/mujer/Katy Perry/Smile (Explicit) [24Bit-44.1kHz]/01. Never Really Over.flac,..\data\masterDS,..\data\masterDS\01. Never Really Over0.flac,full
6997,mujer,Katy Perry,Smile (Explicit) [24Bit-44.1kHz],02. Cry About It Later,/audio/mujer/Katy Perry/Smile (Explicit) [24Bit-44.1kHz],/audio/mujer/Katy Perry/Smile (Explicit) [24Bit-44.1kHz]/02. Cry About It Later.flac,..\data\masterDS,..\data\masterDS\02. Cry About It Later0.flac,full
7016,mujer,Katy Perry,Smile (Explicit) [24Bit-44.1kHz],03. Teary Eyes,/audio/mujer/Katy Perry/Smile (Explicit) [24Bit-44.1kHz],/audio/mujer/Katy Perry/Smile (Explicit) [24Bit-44.1kHz]/03. Teary Eyes.flac,..\data\masterDS,..\data\masterDS\03. Teary Eyes0.flac,full
7035,mujer,Katy Perry,Smile (Explicit) [24Bit-44.1kHz],04. Daisies,/audio/mujer/Katy Perry/Smile (Explicit) [24Bit-44.1kHz],/audio/mujer/Katy Perry/Smile (Explicit) [24Bit-44.1kHz]/04. Daisies.flac,..\data\masterDS,..\data\masterDS\04. Daisies0.flac,full
7053,mujer,Katy Perry,Smile (Explicit) [24Bit-44.1kHz],05. Resilient,/audio/mujer/Katy Perry/Smile (Explicit) [24Bit-44.1kHz],/audio/mujer/Katy Perry/Smile (Explicit) [24Bit-44.1kHz]/05. Resilient.flac,..\data\masterDS,..\data\masterDS\05. Resilient0.flac,full
7072,mujer,Katy Perry,Smile (Explicit) [24Bit-44.1kHz],06. Not the End of the World,/audio/mujer/Katy Perry/Smile (Explicit) [24Bit-44.1kHz],/audio/mujer/Katy Perry/Smile (Explicit) [24Bit-44.1kHz]/06. Not the End of the World.flac,..\data\masterDS,..\data\masterDS\06. Not the End of the World0.flac,full
7090,mujer,Katy Perry,Smile (Explicit) [24Bit-44.1kHz],07. Smile,/audio/mujer/Katy Perry/Smile (Explicit) [24Bit-44.1kHz],/audio/mujer/Katy Perry/Smile (Explicit) [24Bit-44.1kHz]/07. Smile.flac,..\data\masterDS,..\data\masterDS\07. Smile0.flac,full
7107,mujer,Katy Perry,Smile (Explicit) [24Bit-44.1kHz],08. Champagne Problems,/audio/mujer/Katy Perry/Smile (Explicit) [24Bit-44.1kHz],/audio/mujer/Katy Perry/Smile (Explicit) [24Bit-44.1kHz]/08. Champagne Problems.flac,..\data\masterDS,..\data\masterDS\08. Champagne Problems0.flac,full
7127,mujer,Katy Perry,Smile (Explicit) [24Bit-44.1kHz],09. Tucked,/audio/mujer/Katy Perry/Smile (Explicit) [24Bit-44.1kHz],/audio/mujer/Katy Perry/Smile (Explicit) [24Bit-44.1kHz]/09. Tucked.flac,..\data\masterDS,..\data\masterDS\09. Tucked0.flac,full
7146,mujer,Katy Perry,Smile (Explicit) [24Bit-44.1kHz],10. Harleys In Hawaii,/audio/mujer/Katy Perry/Smile (Explicit) [24Bit-44.1kHz],/audio/mujer/Katy Perry/Smile (Explicit) [24Bit-44.1kHz]/10. Harleys In Hawaii.flac,..\data\masterDS,..\data\masterDS\10. Harleys In Hawaii0.flac,full
7165,mujer,Katy Perry,Smile (Explicit) [24Bit-44.1kHz],11. Only Love,/audio/mujer/Katy Perry/Smile (Explicit) [24Bit-44.1kHz],/audio/mujer/Katy Perry/Smile (Explicit) [24Bit-44.1kHz]/11. Only Love.flac,..\data\masterDS,..\data\masterDS\11. Only Love0.flac,full
7185,mujer,Katy Perry,Smile (Explicit) [24Bit-44.1kHz],12. What Makes A Woman,/audio/mujer/Katy Perry/Smile (Explicit) [24Bit-44.1kHz],/audio/mujer/Katy Perry/Smile (Explicit) [24Bit-44.1kHz]/12. What Makes A Woman.flac,..\data\masterDS,..\data\masterDS\12. What Makes A Woman0.flac,full
7199,mujer,Katy Perry,Smile (Giorgio Moroder Remix) [16Bit-44.1kHz],01. Smile,/audio/mujer/Katy Perry/Smile (Giorgio Moroder Remix) [16Bit-44.1kHz],/audio/mujer/Katy Perry/Smile (Giorgio Moroder Remix) [16Bit-44.1kHz]/01. Smile.flac,..\data\masterDS,..\data\masterDS\01. Smile0.flac,full
7218,mujer,Katy Perry,Smile (Joel Corry Remix) [16Bit-44.1kHz],01. Smile,/audio/mujer/Katy Perry/Smile (Joel Corry Remix) [16Bit-44.1kHz],/audio/mujer/Katy Perry/Smile (Joel Corry Remix) [16Bit-44.1kHz]/01. Smile.flac,..\data\masterDS,..\data\masterDS\01. Smile0.flac,full
7237,mujer,Katy Perry,Smile (M-22 Remix) [16Bit-44.1kHz],01. Smile,/audio/mujer/Katy Perry/Smile (M-22 Remix) [16Bit-44.1kHz],/audio/mujer/Katy Perry/Smile (M-22 Remix) [16Bit-44.1kHz]/01. Smile.flac,..\data\masterDS,..\data\masterDS\01. Smile0.flac,full
7256,mujer,Katy Perry,Smile (Marshall Jefferson Remix) [16Bit-44.1kHz],01. Smile,/audio/mujer/Katy Perry/Smile (Marshall Jefferson Remix) [16Bit-44.1kHz],/audio/mujer/Katy Perry/Smile (Marshall Jefferson Remix) [16Bit-44.1kHz]/01. Smile.flac,..\data\masterDS,..\data\masterDS\01. Smile0.flac,full
